"airport_code","month","day","hour","temp_c","precipitation_mm","humidity_perc","pressure_hpa"
MIA,7.0,13.0,2.0,28.3,0.0,79.0,1018.9
MIA,7.0,13.0,3.0,28.3,0.0,79.0,1019.5
MIA,7.0,13.0,4.0,28.3,0.0,82.0,1019.0
MIA,7.0,13.0,5.0,27.8,0.0,85.0,1018.5
MIA,7.0,13.0,6.0,27.8,0.0,85.0,1017.9
MIA,7.0,13.0,7.0,27.2,0.0,88.0,1017.1
MIA,7.0,13.0,8.0,27.2,0.0,88.0,1016.8
MIA,7.0,13.0,9.0,26.7,0.0,90.0,1016.7
MIA,7.0,13.0,10.0,27.2,0.0,88.0,1016.8
MIA,7.0,13.0,11.0,27.2,0.0,88.0,1016.8
MIA,7.0,13.0,12.0,28.3,0.0,82.0,1017.2
MIA,7.0,13.0,13.0,28.3,0.0,85.0,1017.5
MIA,7.0,13.0,14.0,28.9,0.0,77.0,1017.4
MIA,7.0,13.0,15.0,30.0,0.0,75.0,1017.6
MIA,7.0,13.0,16.0,31.1,0.0,68.0,1017.5
MIA,7.0,13.0,17.0,30.0,0.0,70.0,1017.3
MIA,7.0,13.0,18.0,27.2,,85.0,1017.6
MIA,7.0,13.0,19.0,27.2,12.2,85.0,1017.2
MIA,7.0,13.0,20.0,29.4,0.0,74.0,1016.8
MIA,7.0,13.0,21.0,30.0,,70.0,1016.4
MIA,7.0,13.0,22.0,27.2,6.9,85.0,1015.9
MIA,7.0,13.0,23.0,28.9,0.0,80.0,1015.8
MIA,7.0,14.0,0.0,28.3,0.0,79.0,1016.2
MIA,7.0,14.0,1.0,27.8,0.0,79.0,1016.8
MIA,7.0,14.0,2.0,27.8,0.0,82.0,1016.9
MIA,7.0,14.0,3.0,27.8,0.0,82.0,1016.7
MIA,7.0,14.0,4.0,27.8,0.0,85.0,1016.7
MIA,7.0,14.0,5.0,27.2,0.0,88.0,1016.2
MIA,7.0,14.0,6.0,26.7,0.0,87.0,1016.0
MIA,7.0,14.0,7.0,26.7,0.0,87.0,1015.7
MIA,7.0,14.0,8.0,26.7,0.0,90.0,1015.6
MIA,7.0,14.0,9.0,26.7,0.0,90.0,1015.4
MIA,7.0,14.0,10.0,26.7,0.0,90.0,1015.6
MIA,7.0,14.0,11.0,26.7,0.0,87.0,1016.1
MIA,7.0,14.0,12.0,27.8,0.0,85.0,1016.4
MIA,7.0,14.0,13.0,29.0,0.0,74.0,1016.5
MIA,7.0,14.0,14.0,29.4,0.0,74.0,1016.8
MIA,7.0,14.0,15.0,29.4,0.0,72.0,1017.2
MIA,7.0,14.0,16.0,31.1,0.0,70.0,1017.1
MIA,7.0,14.0,17.0,31.7,0.0,65.0,1016.8
MIA,7.0,14.0,18.0,32.2,0.0,59.0,1016.2
MIA,7.0,14.0,19.0,31.7,0.0,61.0,1015.7
MIA,7.0,14.0,20.0,31.7,0.0,59.0,1015.2
MIA,7.0,14.0,21.0,31.1,0.0,63.0,1014.6
MIA,7.0,14.0,22.0,30.6,0.0,68.0,1014.0
MIA,7.0,14.0,23.0,29.4,0.0,70.0,1014.1
MIA,7.0,15.0,0.0,28.9,0.0,74.0,1015.1
MIA,7.0,15.0,1.0,28.3,0.0,74.0,1015.6
MIA,7.0,15.0,2.0,28.3,0.0,77.0,1016.3
MIA,7.0,15.0,3.0,28.3,0.0,79.0,1016.9
MIA,7.0,15.0,4.0,28.3,0.0,79.0,1016.8
MIA,7.0,15.0,5.0,26.0,1.5,79.0,1017.2
MIA,7.0,15.0,6.0,25.0,15.7,90.0,1016.8
MIA,7.0,15.0,7.0,25.6,0.5,90.0,1015.5
MIA,7.0,15.0,8.0,25.6,0.0,90.0,1015.7
MIA,7.0,15.0,9.0,25.6,0.0,93.0,1015.7
MIA,7.0,15.0,10.0,26.7,0.0,90.0,1015.8
MIA,7.0,15.0,11.0,26.7,0.0,87.0,1016.2
MIA,7.0,15.0,12.0,28.3,0.0,77.0,1016.7
MIA,7.0,15.0,13.0,29.4,0.0,74.0,1017.1
MIA,7.0,15.0,14.0,30.0,0.0,72.0,1017.3
MIA,7.0,15.0,15.0,30.6,0.0,68.0,1017.7
MIA,7.0,15.0,16.0,31.7,0.0,65.0,1018.0
MIA,7.0,15.0,17.0,31.7,0.0,65.0,1017.9
MIA,7.0,15.0,18.0,32.2,0.0,59.0,1017.5
MIA,7.0,15.0,19.0,31.7,0.0,63.0,1016.9
MIA,7.0,15.0,20.0,31.1,0.0,66.0,1016.7
MIA,7.0,15.0,21.0,31.1,0.0,61.0,1016.1
MIA,7.0,15.0,22.0,31.1,0.0,61.0,1015.6
MIA,7.0,15.0,23.0,30.0,0.0,70.0,1016.1
MIA,7.0,16.0,0.0,29.4,0.0,72.0,1017.0
MIA,7.0,16.0,1.0,26.1,1.3,88.0,1017.6
MIA,7.0,16.0,2.0,25.0,1.3,90.0,1018.3
MIA,7.0,16.0,3.0,25.6,0.0,82.0,1018.8
MIA,7.0,16.0,4.0,26.1,0.0,82.0,1019.0
MIA,7.0,16.0,5.0,26.7,0.0,87.0,1018.6
MIA,7.0,16.0,6.0,25.6,0.0,82.0,1018.4
MIA,7.0,16.0,7.0,26.7,0.0,74.0,1017.3
MIA,7.0,16.0,8.0,26.1,0.0,77.0,1017.4
MIA,7.0,16.0,9.0,26.1,0.0,77.0,1017.3
MIA,7.0,16.0,10.0,26.1,0.0,77.0,1017.7
MIA,7.0,16.0,11.0,27.2,0.0,85.0,1018.0
MIA,7.0,16.0,12.0,28.3,0.0,82.0,1018.6
MIA,7.0,16.0,13.0,29.4,0.0,77.0,1018.7
MIA,7.0,16.0,14.0,30.0,0.0,77.0,1018.9
MIA,7.0,16.0,15.0,30.6,0.0,70.0,1019.3
